231837	35.27	-97.67	18
231841	34.51	-99.33	18
231845	34.64	-99.33	18
232003	35.41	-98.96	20
232003	35.47	-98.93	20
231571	33.42	-99.82	18
231572	33.95	-98.67	19
231574	33.91	-98.49	19
231575	34.09	-98.54	19
231576	33.82	-98.19	19
231583	34.26	-99.51	18
220111	36.69	-87.91	19
220111	36.83	-87.78	19
220113	36.85	-87.48	19
220113	36.92	-87.51	19
220122	36.63	-88.18	20
220122	36.65	-88.08	20
229691	37.07	-88.12	25
229692	36.87	-87.82	25
229693	36.62	-88.32	25
229693	36.55	-88.15	25
229698	37.3	-87.67	25
229699	36.78	-87.35	25
229704	37.85	-87.58	25
229704	37.77	-87.49	25
229705	37.31	-87.25	25
229705	37.3	-87.27	25
234145	39.94	-74.07	37
234146	38.69	-75.07	37
234054	39.68	-75.75	18
234063	39.63	-75.67	18
234065	39.67	-75.57	18
234070	39.78	-75.68	18
234078	38.58	-75.3	19
234080	38.48	-75.37	33
234046	39.7	-75.86	19
234046	39.7	-75.8	19
234084	40.15	-74.7	19
234085	39.84	-74.84	19
234086	39.85	-74.75	19
234087	40.15	-74.56	19
234089	40.12	-74.45	19
234090	40.08	-74.27	33
234116	40.01	-74.12	33
234116	40	-74.06	33
234128	40.07	-74.53	19
234134	39.72	-75.12	33
234137	39.43	-75.23	18
234137	39.4	-75.25	18
234138	39.43	-75.23	19
234139	39.48	-75.03	18
234140	40.07	-74.13	18
234141	39.72	-75.12	18
234142	39.18	-74.83	18
234143	39.64	-74.29	19
234144	39.55	-74.36	19
234000	40.68	-75.75	18
234001	40.59	-75.63	18
234003	40.67	-75.62	18
234003	40.58	-75.48	18
234007	40.62	-75.48	18
234010	40.53	-75.48	16
234016	40.62	-75.48	19
234018	40.33	-75.88	19
234031	40.35	-75.25	19
220114	38.33	-87.35	18
220138	33.46	-104.27	18
220139	33.41	-105.33	18
220140	33.38	-105.26	18
220141	33.35	-105.14	18
220142	33.37	-105.55	20
220142	33.37	-105.55	20
220143	35.88	-106.66	19
224411	33.43	-104.51	19
220144	33	-104.8	18
220202	34	-95.09	19
220203	34	-95.09	18
220206	33.9	-94.82	18
220207	33.9	-94.82	18
220222	33.94	-94.56	19
220205	33.61	-95.06	19
220208	32.14	-95.27	18
220211	33.46	-94.42	18
220209	32.59	-93.89	18
220212	32.46	-93.56	19
220214	32.57	-93.51	18
220215	32.6	-93.51	18
220218	32.52	-93.58	19
220210	34.21	-94.02	18
220213	33.66	-94.32	19
220216	33.67	-94.13	18
220217	33.93	-93.85	18
220219	34	-93.81	19
220220	33.98	-93.78	18
220221	33.97	-93.8	19
220223	33.8	-94.7	18
220224	31.77	-93.36	18
220225	31.77	-93.36	19
220226	31.58	-92.33	19
220244	31.79	-93.42	18
220245	31.79	-93.42	19
220993	32.03	-93.7	18
220256	40.83	-84.4	20
220256	40.84	-84.36	20
228999	40.84	-84.36	19
228999	40.84	-84.34	19
229000	40.84	-84.34	19
229000	40.85	-84.3	19
220240	27.92	-80.67	19
220240	27.92	-80.65	19
237251	38.03	-85.35	14
237254	37.68	-85.23	14
237254	37.7	-85.23	14
237254	37.69	-85.2	14
237254	37.68	-85.21	14
237255	36.71	-85.16	13
237255	36.71	-85.11	13
237255	36.68	-85.11	13
237255	36.68	-85.15	13
237256	37.01	-85.1	13
237256	37	-85.05	13
237256	36.98	-85.04	13
237256	36.98	-85.08	13
237257	37.12	-85.33	13
237257	37.12	-85.27	13
237257	37.08	-85.28	13
237257	37.08	-85.32	13
237259	36.95	-85.61	13
237259	36.98	-85.66	13
237259	37.02	-85.65	13
237259	37.04	-85.59	13
237259	36.99	-85.57	13
237259	36.94	-85.57	13
237269	36.8	-85.38	13
237269	36.8	-85.36	13
237269	36.79	-85.36	13
237269	36.78	-85.38	13
237273	36.71	-85.71	13
237273	36.71	-85.68	13
237273	36.7	-85.68	13
237273	36.7	-85.7	13
237274	38.22	-85.74	33
237275	38.2	-84.55	33
237276	38.04	-84.46	33
237277	37.37	-85.58	19
237278	36.75	-87.02	19
237279	36.67	-85.8	19
237297	36.7	-85.76	20
237297	36.7	-85.65	20
237349	38.6	-85.33	13
237349	38.6	-85.31	13
237349	38.59	-85.31	13
237349	38.59	-85.32	13
237610	36.78	-86.13	13
237610	36.64	-86.12	13
237610	36.66	-86.32	13
237610	36.73	-86.32	13
237610	36.82	-86.25	13
224891	40.46	-74	37
226180	40.66	-75.21	19
226181	40.29	-75.21	19
226181	40.37	-75.09	19
226182	40.2	-75	19
229583	40.87	-75.74	19
229583	40.8	-75.77	19
226183	40.39	-74.45	19
226183	40.43	-74.42	19
226184	40.3	-74.73	19
226184	40.32	-74.62	19
226185	40.68	-74.63	19
226186	40.43	-74.67	19
226187	40.59	-75.04	19
